time	cpu_%	mem_%
356	0.275006	0.91583
357	0.650943	0.825924
358	0.636563	0.745256
359	0.620053	0.66378
360	0.603769	0.584691
361	0.594582	0.49372
362	0.577567	0.410163
363	0.582347	0.324862
364	0.577297	0.235402
365	0.586019	0.147953
366	0.593636	0.072262
367	0.575012	0.0241049
368	0.0209587	0.024043
369	0.0207598	0.0240356
370	0.0209587	0.024017
371	0.0211618	0.0239954
372	0.0209587	0.0239888
373	0.0209544	0.0239731
374	0.0209544	0.0239365
375	0.0211574	0.0239281
376	0.0211662	0.0239018
377	0.0215812	0.0238821
378	0.0209544	0.0238727
379	0.0211574	0.0238502
380	0.0209544	0.0238304
381	0.0211618	0.023822
382	0.02095	0.0237966
383	0.0209544	0.0237891
384	0.0209587	0.0237822
385	0.0209544	0.0237672
386	0.0211618	0.0237401
387	0.0215812	0.0237291
388	0.0209544	0.0237209
389	0.021153	0.0237076
390	0.0209544	0.0236934
391	0.0211574	0.0236916
392	0.0207512	0.0236719
393	0.0211618	0.0236653
394	0.0209587	0.0236409
395	0.0209544	0.0236279
396	0.0211574	0.0236279
397	0.0215812	0.023618
398	0.0209544	0.0235927
399	0.0207469	0.0217301
400	0.019975	0.0197322
401	0.00373444	0.019392
402	0.000207426	0.0193855
403	0.000207426	0.0193738
404	0.000207512	0.0193606
405	0.000207469	0.0193597
406	0.000207469	0.0193397
407	0.00103734	0.0193322
408	0.000207383	0.0193153
409	0.000414852	0.0193087
410	0.000207469	0.0193059
411	0.000207469	0.0192935
412	0.000414766	0.0192888
413	0	0.0192793
414	0.000207512	0.0192785
415	0.000414766	0.0192729
416	0.000207426	0.0192658
417	0.000829876	0.0192452
