time	cpu_%	mem_%
279	0.127864	0.939455
280	0.127534	0.939465
281	0.120574	0.939456
282	0.123333	0.93946
283	0.126235	0.939459
284	0.129131	0.93946
285	0.126915	0.939457
286	0.126831	0.93946
287	0.124068	0.939445
288	0.125902	0.939452
289	0.125027	0.939442
290	0.125438	0.93946
291	0.125957	0.939459
292	0.127377	0.939461
293	0.124452	0.939456
294	0.124973	0.939459
295	0.12489	0.939456
296	0.124561	0.939456
297	0.125931	0.939457
298	0.124644	0.939459
299	0.124398	0.93946
300	0.124918	0.939457
301	0.124206	0.939461
302	0.126449	0.939459
303	0.124671	0.939463
304	0.124342	0.939462
305	0.126668	0.939464
306	0.126588	0.939478
307	0.12601	0.939476
308	0.128726	0.939479
309	0.126613	0.939474
310	0.127515	0.939474
311	0.12653	0.939472
312	0.126067	0.939479
313	0.126613	0.939479
314	0.125684	0.939479
315	0.125575	0.939468
316	0.126939	0.93947
317	0.126693	0.939462
318	0.125603	0.939457
319	0.133512	0.939456
320	0.125082	0.939452
321	0.125574	0.939456
322	0.12615	0.939453
323	0.125903	0.939448
324	0.124836	0.939462
325	0.127432	0.939465
326	0.125766	0.939458
327	0.125876	0.939464
328	0.125219	0.939465
329	0.125988	0.939464
330	0.124726	0.939466
331	0.126394	0.939472
332	0.127185	0.939457
333	0.126724	0.939464
334	0.127356	0.939464
335	0.129229	0.939452
336	0.126394	0.93946
337	0.136201	0.939461
338	0.126859	0.939464
339	0.126613	0.939453
340	0.126974	0.939458
341	0.127002	0.939454
342	0.12689	0.93945
343	0.126507	0.939451
344	0.127571	0.939442
345	0.128009	0.939464
346	0.128087	0.939473
347	0.127539	0.939466
348	0.127655	0.93947
349	0.128481	0.939458
350	0.126751	0.939471
351	0.127273	0.939472
352	0.127324	0.939465
353	0.126696	0.939467
354	0.127567	0.939459
355	0.127734	0.939462
356	0.127981	0.939463
357	0.125821	0.939464
358	0.126557	0.939457
359	0.128358	0.939452
360	0.12585	0.939455
361	0.127869	0.939458
362	0.12615	0.939466
363	0.126721	0.939461
364	0.128228	0.93947
365	0.12834	0.939466
366	0.127293	0.939469
367	0.1283	0.939458
368	0.128841	0.939472
369	0.129463	0.939477
370	0.131225	0.939461
371	0.127301	0.939465
372	0.128334	0.939464
373	0.127622	0.939458
374	0.127217	0.939458
375	0.127384	0.939455
376	0.128171	0.939457
377	0.12752	0.939449
378	0.127078	0.939452
379	0.130473	0.93945
380	0.128126	0.939469
381	0.127981	0.939474
382	0.128603	0.939459
383	0.126671	0.939462
384	0.125657	0.939456
385	0.127818	0.939463
386	0.127813	0.939451
387	0.129989	0.93946
388	0.127953	0.939456
390	0.12656	0.939458
391	0.128436	0.939459
392	0.127217	0.939466
393	0.12705	0.939476
394	0.128289	0.939472
395	0.126862	0.939474
396	0.127576	0.939472
397	0.128148	0.939475
398	0.126175	0.939477
399	0.126831	0.939483
400	0.126205	0.939476
401	0.125548	0.939476
402	0.126177	0.939482
403	0.12489	0.939481
404	0.12713	0.939481
405	0.128877	0.939481
406	0.125984	0.939485
407	0.126095	0.939486
408	0.128244	0.939478
409	0.125547	0.939473
410	0.126862	0.93948
411	0.125657	0.939482
412	0.124754	0.939493
413	0.126093	0.939485
414	0.125629	0.939482
415	0.126477	0.939487
416	0.126505	0.93949
417	0.125793	0.939488
418	0.126942	0.939488
419	0.126449	0.939479
420	0.127925	0.939463
421	0.125578	0.939475
422	0.127897	0.939477
423	0.125192	0.939481
424	0.126095	0.939475
425	0.12664	0.939489
426	0.125603	0.939489
427	0.126175	0.939488
428	0.124753	0.939485
429	0.125848	0.939489
430	0.126502	0.939485
431	0.125328	0.939487
432	0.125466	0.939487
433	0.126613	0.939497
434	0.126776	0.939505
435	0.128003	0.9395
436	0.125984	0.939495
437	0.125738	0.939503
438	0.126424	0.939503
439	0.126693	0.939499
